28-Aug-2025 06:01:51,99.706604,99.73499213,3507.452908,6386.861111,0,0,56.15931193,0.2191558442,0.2191558442,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,1.363948491,1.363948491,1.363948491,1.363948491,0,0,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:52,99.71602376,99.73499213,3507.452908,6386.861111,0,0,56.19503784,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,1.526693899,1.526693899,1.526693899,1.526693899,0,0,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:53,99.77040609,100.3629693,3563.38303,6490.681858,1,0,56.26169501,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,1.68745497,1.68745497,0.1607610711,0.1607610711,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:54,99.76146105,100.3221707,3563.387804,6490.681858,1,0,56.28088379,0.2191558442,0.2191558442,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,1.842155691,1.842155691,0.315461792,0.315461792,5000,5000,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:55,99.74641927,100.3389825,3563.392578,6490.681858,1,0,56.27966648,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,2.004822165,2.004822165,0.478128266,0.478128266,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:56,99.72843424,100.3209975,3563.397569,6490.681858,1,0,56.32302517,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,2.165603429,2.165603429,0.6389095303,0.6389095303,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:57,99.71131727,100.2720269,3563.402344,6490.681858,1,0,56.31858995,0.2191558442,0.2191558442,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,2.320309088,2.320309088,0.7936151889,0.7936151889,5000,5000,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:58,99.7097914,100.3023546,3563.407118,6490.681858,1,0,56.29184638,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,2.48137846,2.48137846,0.9546845608,0.9546845608,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:59,99.72401259,100.3165758,3563.411892,6490.681858,1,0,56.29493883,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,2.643892738,2.643892738,1.117198839,1.117198839,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:00,99.70710585,100.2996691,3563.416884,6490.681858,1,0,56.23480564,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,2.804497628,2.804497628,1.277803729,1.277803729,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:01,99.70530192,100.2660116,3563.421658,6490.681858,1,0,56.23326959,0.2191558442,0.2191558442,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,2.959329947,2.959329947,1.432636048,1.432636048,5000,5000,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:02,99.68931071,100.2500203,3563.426215,6490.681858,1,0,56.25867038,0.2191558442,0.2191558442,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,3.113866773,3.113866773,1.587172874,1.587172874,5000,5000,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:03,99.67409261,100.2666558,3563.43099,6490.681858,1,0,56.29268392,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,3.274491626,3.274491626,1.747797727,1.747797727,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:04,99.65504286,100.2476061,3563.435764,6490.681858,1,0,56.31909858,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,3.437069741,3.437069741,1.910375842,1.910375842,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:05,99.64137099,100.2339342,3563.440538,6490.681858,1,0,56.25788032,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,3.597950898,3.597950898,2.071256999,2.071256999,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:06,99.60386149,100.1964247,3563.445312,6490.681858,1,0,56.23760986,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,3.760090012,3.760090012,2.233396113,2.233396113,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:07,99.63301595,100.2255792,3563.450304,6490.681858,1,0,56.25327555,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,3.921818019,3.921818019,2.39512412,2.39512412,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:08,99.67123752,100.2638007,3563.455078,6490.681858,1,0,56.24910821,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,4.08444836,4.08444836,2.557754461,2.557754461,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:09,99.67734782,100.269911,3563.459852,6490.681858,1,0,56.23179796,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,4.245165596,4.245165596,2.718471697,2.718471697,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:10,99.668023,100.2605862,3563.464627,6490.681858,1,0,56.26634386,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,4.406638755,4.406638755,2.879944856,2.879944856,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:11,99.65382894,100.2463921,3563.469401,6490.681858,1,0,56.25589328,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,4.567731616,4.567731616,3.041037717,3.041037717,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:12,99.61551921,100.2080824,3563.474175,6490.681858,1,0,56.20188395,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,4.730816323,4.730816323,3.204122424,3.204122424,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:13,99.63452827,100.2270915,3563.47895,6490.681858,1,0,56.23799981,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,4.893473333,4.893473333,3.366779433,3.366779433,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:14,99.63188341,100.2244466,3563.483724,6490.681858,1,0,56.28223334,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,5.055390551,5.055390551,3.528696652,3.528696652,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:15,99.61543104,100.2079942,3563.488498,6490.681858,1,0,56.24981011,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,5.216582653,5.216582653,3.689888754,3.689888754,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:16,99.63421631,100.2267795,3563.493273,6490.681858,1,0,56.25880941,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,5.378157889,5.378157889,3.85146399,3.85146399,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:17,99.64771186,100.2402751,3563.49783,6490.681858,1,0,56.26197306,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,5.539682854,5.539682854,4.012988954,4.012988954,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:18,99.65440538,100.2469686,3563.502604,6490.681858,1,0,56.30050659,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,5.702193185,5.702193185,4.175499286,4.175499286,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:19,99.66144477,100.254008,3563.507378,6490.681858,1,0,56.32029215,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,5.863609941,5.863609941,4.336916042,4.336916042,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:20,99.63731554,100.2298787,3563.512153,6490.681858,1,0,56.35910712,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,6.026242006,6.026242006,4.499548107,4.499548107,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:21,99.6499566,100.2425198,3563.51671,6490.681858,1,0,56.40100437,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,6.189007454,6.189007454,4.662313555,4.662313555,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:22,99.66657172,100.2591349,3563.521484,6490.681858,1,0,56.34542847,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,6.350358726,6.350358726,4.823664827,4.823664827,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:23,99.6578776,100.2504408,3563.526259,6490.681858,1,0,56.38100857,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,6.511745518,6.511745518,4.985051619,4.985051619,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:24,99.65433078,100.246894,3563.530816,6490.681858,1,0,56.40825399,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,6.674798498,6.674798498,5.148104599,5.148104599,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:25,99.66113959,100.2537028,3563.53559,6490.681858,1,0,56.36532932,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,6.835802578,6.835802578,5.309108678,5.309108678,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:26,99.66338433,100.2559475,3563.540148,6490.681858,1,0,56.2597385,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,6.996460767,6.996460767,5.469766868,5.469766868,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:27,99.64942084,100.241984,3563.544922,6490.681858,1,0,56.24246555,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,7.159165443,7.159165443,5.632471544,5.632471544,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:28,99.6660631,100.2586263,3563.549479,6490.681858,1,0,56.22156101,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,7.322146464,7.322146464,5.795452565,5.795452565,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:29,99.64742025,100.2399835,3563.554253,6490.681858,1,0,56.24905396,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,7.485119054,7.485119054,5.958425155,5.958425155,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:30,99.64742025,100.2399835,3563.554253,6490.681858,1,0,56.24905396,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,7.485119054,7.485119054,5.958425155,5.958425155,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:31,99.65479872,100.2473619,3563.558811,6490.681858,1,0,56.18821208,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,7.648165214,7.648165214,6.121471315,6.121471315,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:32,99.67618815,100.2687514,3563.563585,6490.681858,1,0,56.1392551,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,7.809399197,7.809399197,6.282705298,6.282705298,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:33,99.67163764,100.2642008,3563.568142,6490.681858,1,0,56.17825656,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,7.971145942,7.971145942,6.444452043,6.444452043,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:34,99.70782471,100.3003879,3563.5727,6490.681858,1,0,56.19288805,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,8.132197764,8.132197764,6.605503865,6.605503865,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:35,99.69170464,100.2842678,3563.577257,6490.681858,1,0,56.22979736,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,8.294458688,8.294458688,6.767764789,6.767764789,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:36,99.72076416,100.3133274,3563.582031,6490.681858,1,0,56.1702813,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,8.457165051,8.457165051,6.930471152,6.930471152,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:37,99.75446235,100.3470256,3563.586589,6490.681858,1,0,56.16294352,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,8.61935754,8.61935754,7.092663641,7.092663641,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:38,99.73015679,100.32272,3563.591146,6490.681858,1,0,56.16030206,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,8.780558762,8.780558762,7.253864863,7.253864863,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:39,99.7130127,100.3055759,3563.595703,6490.681858,1,0,56.20156182,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,8.941427964,8.941427964,7.414734065,7.414734065,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:40,99.70684814,100.2994113,3563.60026,6490.681858,1,0,56.1739129,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,9.103416644,9.103416644,7.576722745,7.576722745,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:41,99.7251926,100.3177558,3563.604818,6490.681858,1,0,56.38358222,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,9.263895585,9.263895585,7.737201686,7.737201686,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:42,99.72868517,100.3212484,3563.609375,6490.681858,1,0,56.43777127,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,9.427462745,9.427462745,7.900768846,7.900768846,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:43,99.71155463,100.3041178,3563.613932,6490.681858,1,0,56.44248454,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,9.590985648,9.590985648,8.064291749,8.064291749,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:02:44,99.74937609,100.3419393,3563.61849,6490.681858,1,0,56.38144938,0.2295918367,0.2295918367,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,9.753420724,9.753420724,8.226726825,8.226726825,5000,5000,0,0,0,0,0,0,0,0,0.2295918367,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2295918367,70,0,0,0,0,0,0,0,0,0,0
